timestamps,TP9,AF7,AF8,TP10,Right AUX
1741704925.110,-1000.000,-52.734,-35.156,-768.555,0.000
1741704925.114,82.031,-23.926,-39.062,570.312,0.000
1741704925.118,999.512,-16.113,-52.246,999.512,0.000
1741704925.122,217.285,-36.133,-58.594,-40.039,0.000
1741704925.126,-1000.000,-54.199,-46.875,-1000.000,0.000
1741704925.130,-266.113,-35.156,-36.621,88.379,0.000
1741704925.134,999.512,-12.695,-46.387,999.512,0.000
1741704925.137,152.832,-30.273,-52.734,-334.473,0.000
1741704925.141,-1000.000,-40.039,-47.363,-1000.000,0.000
1741704925.145,-149.902,-8.789,-41.504,285.645,0.000
1741704925.149,999.512,1.953,-50.293,999.512,0.000
1741704925.153,349.121,-23.438,-65.430,172.852,0.000
1741704925.157,-1000.000,-47.363,-61.035,-1000.000,0.000
1741704925.161,-689.453,-34.180,-47.363,-409.180,0.000
1741704925.165,940.430,2.441,-41.992,999.512,0.000
1741704925.169,744.141,-12.695,-50.293,417.480,0.000
1741704925.173,-770.996,-54.688,-57.617,-1000.000,0.000
1741704925.177,-1000.000,-53.223,-48.828,-887.207,0.000
1741704925.180,78.125,-17.090,-39.551,609.863,0.000
1741704925.184,999.512,-3.906,-39.062,875.977,0.000
1741704925.188,-150.391,-40.039,-42.969,-673.340,0.000
1741704925.192,-1000.000,-50.781,-39.551,-1000.000,0.000
1741704925.196,-29.297,-3.418,-37.598,314.941,0.000
1741704925.200,999.512,19.531,-42.480,999.512,0.000
1741704925.204,930.176,-3.906,-42.969,912.109,0.000
1741704925.208,943.359,-14.160,-37.598,947.754,0.000
1741704925.212,912.109,-17.090,-34.180,935.547,0.000
1741704925.216,999.512,-21.973,-33.203,999.512,0.000
1741704925.220,111.328,-56.152,-48.828,-93.750,0.000
1741704925.223,-1000.000,-80.078,-52.246,-1000.000,0.000
1741704925.227,-973.633,-58.594,-39.062,-953.125,0.000
1741704925.231,-991.699,-41.016,-39.551,-998.047,0.000
1741704925.235,-931.152,-44.434,-48.340,-934.082,0.000
1741704925.239,-1000.000,-56.641,-50.293,-1000.000,0.000
1741704925.243,-502.441,-34.180,-44.434,-351.074,0.000
1741704925.247,849.121,-4.395,-41.992,960.938,0.000
1741704925.251,999.512,-12.695,-45.898,999.512,0.000
1741704925.255,200.195,-38.086,-48.828,-50.293,0.000
1741704925.259,-1000.000,-56.641,-43.945,-1000.000,0.000
1741704925.262,-300.293,-37.109,-41.992,-152.832,0.000
1741704925.266,999.512,-8.301,-50.293,999.512,0.000
1741704925.270,263.184,-36.621,-56.152,140.137,0.000
1741704925.274,-1000.000,-71.289,-44.922,-1000.000,0.000
1741704925.278,-356.445,-33.691,-34.180,-240.234,0.000
1741704925.282,999.512,11.719,-36.621,999.512,0.000
1741704925.286,610.840,-26.855,-53.223,339.844,0.000
1741704925.290,-949.707,-72.266,-53.223,-1000.000,0.000
1741704925.294,-908.203,-64.453,-37.109,-525.879,0.000
1741704925.298,510.742,-24.414,-32.227,860.840,0.000
1741704925.301,999.512,-1.465,-34.668,999.512,0.000
1741704925.305,286.133,-30.273,-44.922,64.453,0.000
1741704925.309,-1000.000,-63.965,-49.316,-1000.000,0.000
1741704925.313,-310.059,-31.738,-36.133,-146.973,0.000
1741704925.317,999.512,-5.371,-46.875,999.512,0.000
1741704925.321,221.191,-42.480,-57.129,-77.637,0.000
1741704925.325,-1000.000,-65.918,-44.434,-1000.000,0.000
1741704925.329,-291.504,-48.340,-41.992,-190.430,0.000
1741704925.333,999.512,-17.578,-40.039,999.512,0.000
1741704925.337,999.512,-16.602,-38.086,554.688,0.000
1741704925.341,-463.379,-54.199,-39.551,-1000.000,0.000
1741704925.344,-679.199,-54.199,-35.645,-380.371,0.000
1741704925.348,999.512,-11.230,-41.504,999.512,0.000
1741704925.352,280.273,-44.434,-51.758,200.684,0.000
1741704925.356,-1000.000,-88.867,-52.734,-1000.000,0.000
1741704925.360,-1000.000,-68.359,-43.945,-841.309,0.000
1741704925.364,43.457,-26.367,-46.387,474.609,0.000
1741704925.368,999.512,-2.441,-54.688,999.512,0.000
1741704925.372,196.289,-33.203,-43.457,-14.160,0.000
1741704925.376,-1000.000,-66.895,-30.762,-1000.000,0.000
1741704925.380,-272.461,-50.293,-27.832,7.324,0.000
1741704925.384,999.512,-21.973,-32.715,999.512,0.000
1741704925.387,602.539,-26.367,-41.016,251.953,0.000
1741704925.391,-834.961,-58.594,-34.180,-1000.000,0.000
1741704925.395,-1000.000,-65.430,-25.879,-779.785,0.000
1741704925.399,-941.895,-56.641,-42.969,-677.734,0.000
1741704925.403,-952.148,-66.895,-58.594,-984.863,0.000
1741704925.407,-1000.000,-61.523,-49.316,-1000.000,0.000
1741704925.411,-221.680,-27.344,-31.738,-154.297,0.000
1741704925.415,999.512,6.836,-29.785,999.512,0.000
1741704925.419,948.242,7.812,-36.621,941.406,0.000
